Iteration	Posterior	Likelihood	Prior	clock_rate	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
96	-16610.6	-16347.8	-262.769	0.007506458	0.2072546	0.0386588	0.0386588	0.0386588	0.0386588	0.03865883	0.0898205	0.112303	0.133269	0.166628	0.1223379	0.2685914
97	-16610.1	-16346.1	-264.007	0.007506458	0.2072546	0.038298	0.038298	0.038298	0.038298	0.03829801	0.0965874	0.130522	0.16439	0.222146	0.1464802	0.3620138
98	-16607.3	-16343.8	-263.466	0.007506458	0.2072546	0.0254344	0.0254344	0.0254344	0.0254344	0.02543438	0.100844	0.129091	0.15598	0.19967	0.1418999	0.2969068
99	-16608.9	-16344.6	-264.285	0.007506458	0.14273	0.0271952	0.0271952	0.0271952	0.0271952	0.02719522	0.0765563	0.114492	0.155849	0.233076	0.1335793	0.4839132
100	-16608.8	-16345	-263.831	0.007506458	0.1138931	0.0242024	0.0242024	0.0242024	0.0242024	0.02420238	0.0512853	0.0779709	0.107483	0.163411	0.09154541	0.5037008
101	-16612.9	-16347.8	-265.08	0.007506458	0.150064	0.0242024	0.0242024	0.0242024	0.0242024	0.02420238	0.054477	0.0935196	0.141491	0.242894	0.1150311	0.6497364
102	-16611.6	-16347.4	-264.241	0.007506458	0.2069201	0.0353345	0.0353345	0.0353345	0.0353345	0.03533453	0.0483706	0.079148	0.115426	0.18887	0.09558116	0.5920673
103	-16613.2	-16349.2	-263.982	0.007506458	0.1981115	0.0268861	0.0268861	0.0268861	0.0268861	0.02688609	0.0483706	0.079148	0.115426	0.18887	0.09558116	0.5920673
104	-16613.9	-16347.7	-266.194	0.007506458	0.1981115	0.0277363	0.0277363	0.0277363	0.0277363	0.02773627	0.0952564	0.135892	0.178412	0.254521	0.1557073	0.4271791
105	-16607.8	-16342.1	-265.656	0.007506458	0.1816772	0.0224584	0.0224584	0.0224584	0.0224584	0.02245838	0.0983035	0.137083	0.176862	0.246632	0.1557073	0.3998076
106	-16605.2	-16339.6	-265.638	0.007506458	0.2060165	0.0211844	0.0211844	0.0211844	0.0211844	0.02118444	0.0994266	0.137515	0.176307	0.243846	0.1557073	0.3899317
107	-16603.5	-16340	-263.517	0.007506458	0.1861686	0.0527883	0.0527883	0.0527883	0.0527883	0.05278825	0.10204	0.135338	0.168034	0.222868	0.1508028	0.339555
108	-16609.5	-16345.7	-263.789	0.007506458	0.1532723	0.056373	0.056373	0.056373	0.056373	0.05637295	0.0997996	0.134509	0.169071	0.227872	0.1508028	0.3588553
109	-16611.5	-16348.2	-263.243	0.007857801	0.1236295	0.100924	0.100924	0.100924	0.100924	0.1009239	0.128599	0.155786	0.180446	0.218592	0.167663	0.2305849
110	-16612.2	-16348.8	-263.412	0.007857801	0.1887247	0.144623	0.144623	0.144623	0.144623	0.1446231	0.133213	0.157314	0.178692	0.211022	0.167663	0.1999439
111	-16611.7	-16348.4	-263.296	0.007857801	0.155512	0.144623	0.144623	0.144623	0.144623	0.1446231	0.146139	0.179182	0.209473	0.256837	0.1937365	0.2450931
112	-16611	-16347.6	-263.41	0.007857801	0.2142138	0.144623	0.144623	0.144623	0.144623	0.1446231	0.134508	0.175113	0.214341	0.279045	0.1937365	0.3171858
113	-16613.5	-16350.5	-262.931	0.007857801	0.1972314	0.162703	0.162703	0.162703	0.162703	0.1627033	0.139581	0.176918	0.212154	0.268904	0.1937365	0.2850039
114	-16617.8	-16355.1	-262.689	0.007857801	0.1066336	0.162703	0.162703	0.162703	0.162703	0.1627033	0.13947	0.176879	0.212201	0.269117	0.1937365	0.2856938
115	-16619.1	-16354.8	-264.329	0.007857801	0.1202549	0.216069	0.216069	0.216069	0.216069	0.2160688	0.141985	0.177757	0.211153	0.26435	0.1937365	0.2701581
116	-16621.5	-16358	-263.472	0.007857801	0.05710316	0.216717	0.216717	0.216717	0.216717	0.2167174	0.146301	0.179237	0.209409	0.256552	0.1937365	0.2441273
117	-16618.4	-16355.7	-262.654	0.007857801	0.05710316	0.176874	0.176874	0.176874	0.176874	0.1768741	0.146301	0.179237	0.209409	0.256552	0.1937365	0.2441273
118	-16614.5	-16351.9	-262.587	0.007857801	0.06613118	0.122567	0.122567	0.122567	0.122567	0.1225671	0.159266	0.183503	0.204541	0.235667	0.1937365	0.1703148
119	-16614.7	-16351.3	-263.446	0.007857801	0.07526106	0.183654	0.183654	0.183654	0.183654	0.1836544	0.14191	0.177731	0.211184	0.26449	0.1937365	0.2706175
120	-16619.2	-16355.3	-263.92	0.007857801	0.07526106	0.147035	0.147035	0.147035	0.147035	0.1470347	0.0891505	0.122574	0.156441	0.215093	0.1384763	0.3828169
121	-16615.2	-16351.2	-264.06	0.007485807	0.0363273	0.0964908	0.0964908	0.0964908	0.0964908	0.09649084	0.0841234	0.12062	0.158977	0.227947	0.1384763	0.4332724
122	-16605.6	-16342.3	-263.326	0.007485807	0.03257453	0.0398614	0.0398614	0.0398614	0.0398614	0.03986137	0.106233	0.128674	0.149026	0.180505	0.1384763	0.2304177
123	-16605.7	-16342.5	-263.262	0.007485807	0.02125105	0.0391928	0.0391928	0.0391928	0.0391928	0.03919282	0.106233	0.128674	0.149026	0.180505	0.1384763	0.2304177
124	-16604	-16340.6	-263.369	0.007485807	0.03188281	0.059312	0.059312	0.059312	0.059312	0.05931201	0.11121	0.130316	0.147148	0.172427	0.1384763	0.1906178
125	-16604.6	-16341.3	-263.385	0.007485807	0.03188281	0.0551587	0.0551587	0.0551587	0.0551587	0.0551587	0.113141	0.131938	0.148429	0.17309	0.1399411	0.184804
126	-16607.6	-16344.4	-263.226	0.007485807	0.03188281	0.0551587	0.0551587	0.0551587	0.0551587	0.0551587	0.0977744	0.120817	0.142085	0.17557	0.13102	0.2544332
127	-16612.1	-16348.6	-263.456	0.007485807	0.03163455	0.0859934	0.0859934	0.0859934	0.0859934	0.08599336	0.103083	0.1226	0.140019	0.166528	0.13102	0.2084684
128	-16618	-16354	-263.969	0.007485807	0.05014936	0.0859934	0.0859934	0.0859934	0.0859934	0.08599336	0.0843422	0.115971	0.148021	0.203531	0.13102	0.3828988
129	-16621.7	-16356.7	-265.015	0.007485807	0.03503996	0.139774	0.139774	0.139774	0.139774	0.1397742	0.0776054	0.113328	0.151474	0.221199	0.13102	0.4552643
130	-16615.4	-16349.2	-266.224	0.007308208	0.0335231	0.139774	0.139774	0.139774	0.139774	0.1397742	0.063328	0.103004	0.14953	0.243214	0.1241057	0.5848712
