Iteration	Replicate_ID	Posterior	Likelihood	Prior	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
80	0	-259.079	-270.998	11.9192	0.1833771	5.77168e-06	5.77168e-06	5.77168e-06	5.77168e-06	5.771679e-06	0.115051	0.124375	0.132027	0.142726	0.1281439	0.0936885
81	1	-256.973	-270.276	13.3026	0.1887465	1.4282e-06	1.4282e-06	1.4282e-06	1.4282e-06	1.428204e-06	0.143477	0.145994	0.147952	0.150547	0.1469699	0.02090719
82	0	-257.79	-270.355	12.5642	0.1998912	3.62485e-06	3.62485e-06	3.62485e-06	3.62485e-06	3.624845e-06	0.118497	0.120515	0.122084	0.124162	0.1212966	0.02029761
83	1	-255.543	-268.385	12.8415	0.2031223	2.30004e-06	2.30004e-06	2.30004e-06	2.30004e-06	2.300041e-06	0.0998047	0.112382	0.123082	0.138594	0.1176108	0.1427088
84	0	-263.18	-273.341	10.1609	0.01695841	2.64405e-05	2.64405e-05	2.64405e-05	2.64405e-05	2.644049e-05	0.027049	0.0477772	0.0738809	0.130497	0.05941229	0.6840108
85	1	-254.129	-267.993	13.864	0.1865162	1.01715e-06	1.01715e-06	1.01715e-06	1.01715e-06	1.017151e-06	0.0912211	0.0992836	0.10594	0.115304	0.102558	0.1018313
86	0	-268.461	-274.076	5.61544	0.184606	0.00312609	0.00312609	0.00312609	0.00312609	0.003126095	0.0616145	0.0801226	0.0979851	0.127418	0.08860483	0.3158082
87	1	-255.066	-268.953	13.8863	0.1750813	1.03609e-06	1.03609e-06	1.03609e-06	1.03609e-06	1.036095e-06	0.0978287	0.103094	0.107319	0.113095	0.1051853	0.06302885
88	0	-270.386	-273.411	3.02442	0.1449182	0.052549	0.052549	0.052549	0.052549	0.05254903	0.109408	0.112507	0.11494	0.118195	0.113717	0.03357772
89	1	-261.414	-274.154	12.7405	0.08471793	2.32077e-06	2.32077e-06	2.32077e-06	2.32077e-06	2.320773e-06	0.0951445	0.111595	0.126099	0.147901	0.1186253	0.1917445
