Iteration	Posterior	Likelihood	Prior	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
10400	-256.319	-269.916	13.5975	0.1791299	1.2021e-06	1.2021e-06	1.2021e-06	1.2021e-06	1.202102e-06	0.127095	0.129273	0.130967	0.133211	0.1301171	0.02043058
10500	-258.202	-271.051	12.8492	0.1518118	2.21228e-06	2.21228e-06	2.21228e-06	2.21228e-06	2.212283e-06	0.0712817	0.0893517	0.10624	0.133172	0.0974307	0.2716582
10600	-259.234	-272.836	13.6021	0.02063187	1.28148e-06	1.28148e-06	1.28148e-06	1.28148e-06	1.281479e-06	0.0956113	0.103575	0.110123	0.119295	0.1067987	0.09619217
10700	-261.555	-273.481	11.9255	0.1599833	3.93464e-06	3.93464e-06	3.93464e-06	3.93464e-06	3.93464e-06	0.0884362	0.115212	0.141095	0.183814	0.1274984	0.3180099
10800	-255.767	-269.449	13.6821	0.1579433	1.06692e-06	1.06692e-06	1.06692e-06	1.06692e-06	1.066918e-06	0.0666999	0.082705	0.097522	0.120923	0.08980844	0.2585957
10900	-254.258	-268.027	13.7691	0.2015829	1.18472e-06	1.18472e-06	1.18472e-06	1.18472e-06	1.184717e-06	0.0972604	0.102166	0.106092	0.111443	0.1041105	0.05916544
11000	-254.795	-268.894	14.0985	0.1941041	1.0344e-06	1.0344e-06	1.0344e-06	1.0344e-06	1.034404e-06	0.08226	0.0857515	0.0885266	0.092284	0.08712799	0.04997857
11100	-253.802	-267.699	13.8969	0.1854582	1.01304e-06	1.01304e-06	1.01304e-06	1.01304e-06	1.013041e-06	0.103597	0.107737	0.111021	0.115458	0.1093669	0.04711331
11200	-258.362	-272.339	13.9776	0.1422945	1.01789e-06	1.01789e-06	1.01789e-06	1.01789e-06	1.017893e-06	0.063315	0.0741406	0.0836721	0.0979784	0.07876231	0.1897788
11300	-258.021	-270.745	12.7242	0.1740316	1.91006e-06	1.91006e-06	1.91006e-06	1.91006e-06	1.910058e-06	0.0799904	0.104953	0.129233	0.169563	0.116462	0.3265598
