/ufrc/burleigh/nhans/GitHubNH/revBB
c31a-s19.ufhpc
Fri May 31 16:01:22 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/mcmc_BDS_updated.Rev")
   Processing file "0_scripts/mcmc_BDS_updated.Rev"
   Successfully read one character matrix from file '2_seqdata_simseqbd/seq_sim_1.nex'
   Attempting to read the contents of file "simbdstree1.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 106 different moves in a random move schedule with 318.5 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   speciation..   |    elapsed   |        ETA   |
14800       |       -14741.3   |       -14976.5   |        235.187   |     0.02068972   |     0.08946659   |   00:32:09   |   00:11:17   |
14900       |       -14745.7   |       -14981.3   |        235.621   |     0.04746859   |     0.05396462   |   00:32:20   |   00:11:04   |
15000       |       -14763.7   |       -14990.8   |        227.079   |      0.1099818   |     0.05271902   |   00:32:32   |   00:10:50   |
15100       |       -14749.7   |       -14979.7   |        230.041   |      0.1944561   |     0.09645877   |   00:32:43   |   00:10:37   |
15200       |       -14762.5   |       -14984.7   |        222.113   |      0.1077352   |     0.08679953   |   00:32:54   |   00:10:23   |
15300       |       -14743.3   |       -14977.3   |        233.988   |      0.1008331   |      0.1178042   |   00:33:05   |   00:10:09   |
15400       |       -14752.3   |       -14974.3   |        221.964   |    0.005819033   |      0.1421968   |   00:33:16   |   00:09:56   |
15500       |       -14736.9   |       -14974.9   |        237.949   |     0.07287369   |     0.06478314   |   00:35:54   |   00:10:25   |
15600       |       -14751.3   |       -14969.2   |        217.907   |      0.1889024   |     0.09693915   |   00:36:07   |   00:10:11   |
15700       |       -14737.7   |       -14970.4   |        232.706   |    0.005632533   |     0.08947111   |   00:36:18   |   00:09:56   |
15800       |       -14738.7   |       -14981.4   |        242.647   |      0.1644042   |     0.07109379   |   00:36:33   |   00:09:42   |
15900       |       -14742.8   |       -14981.7   |        238.861   |      0.1920933   |     0.09575108   |   00:36:44   |   00:09:28   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   speciation..   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
16000       |       -14743.9   |       -14968.4   |         224.45   |     0.05503767   |     0.06622212   |   00:36:55   |   00:09:13   |
16100       |       -14747.8   |       -14988.9   |        241.075   |      0.1863812   |     0.08203594   |   00:37:06   |   00:08:59   |
16200       |       -14773.2   |       -14987.7   |        214.488   |     0.06283756   |      0.1002952   |   00:37:17   |   00:08:44   |
16300       |       -14741.4   |       -14988.7   |        247.238   |      0.2027673   |      0.1331951   |   00:37:28   |   00:08:30   |
16400       |       -14749.3   |         -14979   |        229.699   |     0.06177225   |     0.05852931   |   00:37:39   |   00:08:15   |
16500       |       -14747.9   |       -14970.8   |        222.902   |      0.1922567   |     0.04945434   |   00:37:51   |   00:08:01   |
16600       |       -14755.4   |       -14980.2   |        224.788   |     0.02496879   |     0.02029229   |   00:38:03   |   00:07:47   |
16700       |       -14751.7   |       -14983.5   |        231.819   |     0.07197324   |     0.05746981   |   00:38:14   |   00:07:33   |
16800       |         -14748   |       -14973.2   |        225.173   |      0.1554771   |     0.06760912   |   00:38:25   |   00:07:19   |
16900       |       -14741.2   |       -14975.4   |        234.146   |      0.1925247   |     0.09363668   |   00:38:37   |   00:07:05   |
17000       |       -14769.1   |       -14990.3   |        221.212   |      0.1112602   |     0.06766824   |   00:38:48   |   00:06:50   |
17100       |       -14741.6   |       -14982.1   |        240.537   |       0.195133   |      0.1123505   |   00:38:59   |   00:06:36   |
17200       |       -14731.3   |       -14975.1   |        243.853   |     0.09673081   |     0.07353965   |   00:39:10   |   00:06:22   |
17300       |       -14730.9   |         -14979   |        248.077   |      0.1262321   |      0.0969232   |   00:39:22   |   00:06:08   |
17400       |       -14749.2   |       -14979.3   |        230.009   |      0.1447119   |     0.05856896   |   00:39:33   |   00:05:54   |
17500       |       -14742.2   |       -14975.7   |        233.533   |     0.07342401   |     0.06362715   |   00:40:07   |   00:05:43   |
17600       |       -14749.1   |       -14981.6   |        232.479   |      0.2014598   |      0.0809671   |   00:40:18   |   00:05:29   |
17700       |       -14756.6   |         -14980   |        223.316   |     0.05580517   |     0.08247429   |   00:40:30   |   00:05:15   |
17800       |       -14751.8   |       -14974.9   |        223.071   |     0.02001687   |     0.07941528   |   00:40:42   |   00:05:01   |
17900       |       -14737.8   |       -14974.3   |        236.479   |      0.1807549   |      0.1202426   |   00:40:53   |   00:04:47   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   speciation..   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
18000       |       -14746.5   |       -14976.4   |         229.92   |      0.1290305   |      0.1115897   |   00:41:05   |   00:04:33   |
18100       |       -14745.3   |       -14980.2   |        234.908   |       0.191087   |      0.1038608   |   00:41:16   |   00:04:19   |
18200       |       -14739.8   |       -14977.8   |        238.011   |      0.2020433   |      0.1144865   |   00:41:27   |   00:04:05   |
18300       |         -14741   |       -14970.9   |        229.904   |      0.2015552   |     0.09092939   |   00:41:38   |   00:03:52   |
18400       |       -14769.9   |       -14989.4   |        219.438   |      0.1091791   |     0.08619535   |   00:41:50   |   00:03:38   |
18500       |       -14736.3   |         -14971   |        234.648   |     0.07887939   |     0.08339752   |   00:42:01   |   00:03:24   |
18600       |       -14752.3   |         -14979   |        226.707   |      0.1996606   |      0.1106803   |   00:42:12   |   00:03:10   |
18700       |       -14746.6   |         -14972   |        225.345   |      0.1895154   |      0.1265537   |   00:42:23   |   00:02:56   |
18800       |         -14756   |       -14983.2   |        227.253   |      0.1942687   |      0.1181794   |   00:42:34   |   00:02:43   |
18900       |         -14738   |       -14967.3   |        229.275   |      0.2007096   |      0.1199879   |   00:42:45   |   00:02:29   |
19000       |       -14751.9   |       -14989.7   |        237.799   |       0.198062   |      0.1095213   |   00:42:56   |   00:02:15   |
19100       |       -14741.7   |       -14975.8   |        234.067   |      0.1925939   |      0.1209389   |   00:45:18   |   00:02:08   |
19200       |         -14746   |       -14982.4   |        236.358   |      0.1717849   |      0.1546126   |   00:45:36   |   00:01:54   |
19300       |       -14740.9   |       -14968.8   |        227.883   |     0.04412143   |     0.07417982   |   00:45:47   |   00:01:39   |
19400       |       -14738.3   |       -14973.5   |        235.246   |      0.1422346   |     0.06260384   |   00:45:59   |   00:01:25   |
19500       |       -14751.9   |       -14975.3   |        223.429   |      0.1429825   |     0.06198439   |   00:46:11   |   00:01:11   |
19600       |       -14747.4   |       -14975.3   |        227.885   |      0.1733159   |      0.1096944   |   00:47:15   |   00:00:57   |
