/ufrc/burleigh/nhans/GitHubNH/revBB
c25a-s1.ufhpc
Fri May 31 15:49:23 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/bd-tree-analysis.Rev")
   Processing file "0_scripts/bd-tree-analysis.Rev"
   Attempting to read the contents of file "simbdstree1.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 4 different moves in a random move schedule with 8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
1170        |        -258.93   |       -272.227   |        13.2967   |      0.1795528   |   1.789093e-06   |      0.1217038   |   00:00:47   |   00:12:36   |
1180        |        -260.99   |       -272.993   |        12.0037   |      0.0370957   |   7.094794e-06   |      0.1117037   |   00:00:47   |   00:12:29   |
1190        |       -259.984   |       -272.636   |        12.6519   |     0.01345816   |   4.203619e-06   |     0.09849913   |   00:00:48   |   00:12:38   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
1200        |       -261.502   |       -274.661   |        13.1585   |      0.0693234   |   1.743839e-06   |      0.1311168   |   00:00:48   |   00:12:32   |
1200        |       -261.502   |       -274.661   |        13.1585   |      0.0693234   |   1.743839e-06   |      0.1311168   |   00:00:48   |   00:12:32   |
1210        |       -261.068   |       -274.012   |        12.9438   |     0.03623328   |   1.149384e-06   |     0.05707812   |   00:00:49   |   00:12:40   |
1220        |       -260.551   |       -273.746   |        13.1953   |      0.1075211   |   1.527335e-06   |      0.1280321   |   00:00:49   |   00:12:34   |
1230        |       -258.494   |       -271.819   |        13.3247   |       0.180406   |   1.935764e-06   |     0.09416427   |   00:00:50   |   00:12:43   |
1240        |       -255.685   |       -269.023   |        13.3382   |      0.1763415   |   1.264541e-06   |      0.1124898   |   00:00:50   |   00:12:36   |
1250        |        -256.15   |       -269.282   |        13.1321   |      0.1948529   |   1.692478e-06   |      0.1067246   |   00:00:50   |   00:12:30   |
1260        |       -261.018   |       -272.976   |        11.9578   |     0.04266222   |   6.560517e-06   |      0.1038452   |   00:00:51   |   00:12:38   |
1270        |       -261.951   |       -273.068   |        11.1168   |     0.08952241   |   1.611297e-05   |     0.09478793   |   00:00:51   |   00:12:32   |
1280        |       -262.129   |       -273.935   |         11.806   |      0.1501076   |   4.778751e-06   |      0.1316252   |   00:00:52   |   00:12:40   |
1290        |       -260.316   |       -272.395   |        12.0792   |      0.1883767   |   3.702874e-06   |     0.08343093   |   00:00:52   |   00:12:34   |
1300        |       -261.125   |       -273.236   |        12.1107   |     0.05190077   |   4.680701e-06   |      0.1118241   |   00:00:52   |   00:12:28   |
1300        |       -261.125   |       -273.236   |        12.1107   |     0.05190077   |   4.680701e-06   |      0.1118241   |   00:00:52   |   00:12:28   |
1310        |       -261.306   |       -272.978   |        11.6715   |     0.02800406   |   7.959888e-06   |      0.1053658   |   00:00:53   |   00:12:36   |
1320        |       -260.088   |       -273.289   |        13.2015   |     0.04263138   |   1.655251e-06   |     0.09254302   |   00:00:53   |   00:12:30   |
1330        |       -260.749   |       -273.969   |          13.22   |     0.02698578   |   1.986324e-06   |     0.07049009   |   00:00:53   |   00:12:23   |
