/ufrc/burleigh/nhans/GitHubNH/revBB
c31b-s1.ufhpc
Fri May 31 14:43:21 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/bd-tree-analysis.Rev")
   Processing file "0_scripts/bd-tree-analysis.Rev"
   Attempting to read the contents of file "simbdstree1.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 4 different moves in a random move schedule with 8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
1330        |       -261.642   |       -272.996   |         11.354   |      0.2009541   |   1.551336e-05   |       0.095672   |   00:00:48   |   00:11:13   |
1340        |        -261.62   |       -273.218   |        11.5978   |      0.1034523   |    9.74678e-06   |      0.1222509   |   00:00:48   |   00:11:08   |
1350        |       -261.147   |        -273.75   |        12.6026   |       0.110526   |   5.175336e-06   |     0.08360084   |   00:00:48   |   00:11:03   |
1360        |        -261.34   |       -273.032   |        11.6927   |     0.02479221   |   1.104645e-05   |     0.09829825   |   00:00:49   |   00:11:11   |
1370        |        -261.05   |       -273.922   |        12.8717   |     0.01114863   |   4.002914e-06   |     0.08150106   |   00:00:49   |   00:11:06   |
1380        |       -258.924   |       -272.567   |        13.6432   |     0.01287489   |   1.431892e-06   |      0.1029032   |   00:00:49   |   00:11:01   |
1390        |       -260.205   |       -273.838   |        13.6323   |     0.04389264   |   1.314767e-06   |     0.07806215   |   00:00:50   |   00:11:09   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
1400        |       -260.578   |       -273.807   |        13.2293   |     0.01325243   |   1.555215e-06   |     0.05583039   |   00:00:50   |   00:11:04   |
1400        |       -260.578   |       -273.807   |        13.2293   |     0.01325243   |   1.555215e-06   |     0.05583039   |   00:00:50   |   00:11:04   |
1410        |       -260.798   |       -273.272   |        12.4734   |     0.02132658   |   2.915245e-06   |      0.1078556   |   00:00:50   |   00:10:59   |
1420        |       -261.362   |       -273.221   |        11.8583   |     0.06941269   |   5.866886e-06   |     0.09617517   |   00:00:51   |   00:11:07   |
1430        |       -262.595   |        -273.37   |        10.7746   |      0.1038579   |   1.458116e-05   |     0.09029105   |   00:00:51   |   00:11:02   |
1440        |        -261.76   |       -273.321   |        11.5609   |      0.1931207   |   3.884885e-06   |     0.09437926   |   00:00:51   |   00:10:57   |
1450        |       -255.405   |       -268.948   |        13.5423   |      0.1999752   |   1.460278e-06   |      0.0782989   |   00:00:52   |   00:11:05   |
1460        |       -254.976   |       -268.418   |        13.4416   |      0.1999752   |    1.20571e-06   |      0.1317856   |   00:00:52   |   00:11:00   |
1470        |       -258.907   |       -272.177   |        13.2703   |      0.1765313   |   2.038093e-06   |      0.1050897   |   00:00:52   |   00:10:55   |
1480        |       -256.197   |        -269.09   |        12.8927   |      0.1929297   |    2.13605e-06   |      0.1426801   |   00:00:53   |   00:11:03   |
1490        |       -258.697   |       -272.362   |        13.6646   |       0.151834   |   1.420812e-06   |     0.09431755   |   00:00:53   |   00:10:58   |
1500        |       -256.695   |       -269.935   |        13.2403   |      0.1787979   |   1.519318e-06   |      0.1164635   |   00:00:53   |   00:10:53   |
1500        |       -256.695   |       -269.935   |        13.2403   |      0.1787979   |   1.519318e-06   |      0.1164635   |   00:00:53   |   00:10:53   |
1510        |       -254.659   |       -268.117   |        13.4579   |      0.2004117   |   1.117315e-06   |      0.1184514   |   00:00:54   |   00:11:01   |
1520        |       -257.192   |       -270.559   |        13.3669   |       0.169549   |   1.533676e-06   |      0.1157384   |   00:00:54   |   00:10:56   |
